cause_short,sex,prev_target,prev_model,death_target,death_model,MAE_prev,MAE_death,maxabs_prev,maxabs_death
hhd,Female,10513810.0539282,10513810.0539282,1402835.64442861,1402787.82499517,6.77764722652119e-15,0.0177899677969936,1.81898940354586e-12,2.07113759675173
hhd,Male,8546304.82032919,8546304.82032919,1137945.05183009,1137924.06419184,3.14563190310461e-15,0.00780790113674383,9.09494701772928e-13,1.04976669188936
hstroke,Female,17345867.9569045,17357206.0126483,3762296.54490565,3755644.3311976,4.21802669041022,2.47478188543382,186.644644658119,186.644644658119
hstroke,Male,16629824.8832925,16695877.5325322,4041328.31426013,3978483.75861076,24.5731581993157,23.3796710005074,739.587715370872,739.587715370871
ihd,Female,80105170.3192174,80105170.3192174,5265435.60122774,5264078.29666065,1.01506105108586e-15,0.504949615731636,9.09494701772928e-13,58.174003265167
ihd,Male,111130976.501801,111130976.501801,7030236.63730871,7029397.43515342,1.22653210339541e-15,0.31220318277121,1.81898940354586e-12,35.9784189149075
istroke,Female,47234578.7426521,47239428.845579,3063049.09923984,3063049.09923984,1.80435376746054,1.81087783657219e-14,51.2591405120443,9.09494701772928e-13
istroke,Male,64896367.9120347,64905581.0800306,2605928.09864106,2605928.09864106,3.42751785564252,1.49038560923848e-14,93.2138723578628,9.09494701772928e-13
rhd,Female,22039538.3054091,25076713.9084454,59686.5765558222,59658.8134015519,1129.90163803434,0.0103285544160171,7904.68333926175,1.64604783258214
rhd,Male,18718448.7060452,21163250.2613323,33421.0854793637,33393.359957317,909.524388127652,0.0103145543328784,6536.07350327113,1.43249846744646
