who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
South-East Asia,S_70_30_30_TO_70_70_70,409973294.910565,0.000101104188941138,8816627637.96843,0.00205593165265171,94172202243.0267,0.0209115923735579,148296892147.175,0.0339450777703777,1818269970057.25,0.0159967048403466
World,S_70_30_30_TO_70_70_70,409973294.910565,0.000101104188941138,8816627637.96843,0.00205593165265171,94172202243.0267,0.0209115923735579,148296892147.175,0.0339450777703777,1818269970057.25,0.0159967048403466
