location_code,calibration_location_id,gbd_location_id,location_name,location_level,year,age,sex,cause_id,cause_name,cause_group,population,all_cause_mx,cause_mx,background_mx_all_modelled_causes,background_mx_for_cause,ir_seed_2019,cf_seed_2019,cause_mx_2019,cause_mortality_relative_change,cf_trend_fraction,cf_trend_factor,ir_multiplier,cf_multiplier,IR,CF,probability_well_to_well,probability_well_to_sick,probability_well_to_other_death,probability_sick_to_sick,probability_sick_to_cause_death,probability_sick_to_other_death,constraint_status,future_transition_assumption
IDN_NATIONAL,GBD_11,11,Indonesia,National,2041,31,Male,C_ICH,Intracerebral haemorrhage,CVD,2396542,0.00150123,8.70231825022198e-05,0.00112376412773547,0.00141420681749778,0.000318964650288641,0.0565135568778872,0.000113173237366507,-0.231062179299519,0.8,0.815150256560384,0.619800257687136,0.936190723053988,0.000197694372441987,0.0431275358499391,0.99838809881006,0.000197694372441987,0.00141420681749778,0.955458257332563,0.0431275358499391,0.00141420681749778,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2045,27,Female,C_RHD,Rheumatic heart disease,CVD,2134142,0.00085857,1.48965824394985e-05,0.000674556583685118,0.000843673417560501,0.000224927140223493,0.00369669085077347,2.67444138407501e-05,-0.443002096505072,0.8,0.645598322795943,0.50000000046055,0.630292412861138,0.000112463570215337,0.00150424163621702,0.999043863012224,0.000112463570215337,0.000843673417560501,0.997652084946223,0.00150424163621702,0.000843673417560501,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2047,21,Male,C_ICH,Intracerebral haemorrhage,CVD,2179424,0.0012728,2.34425624533455e-05,0.00115659003835425,0.00124935743754665,0.000124868459146832,0.0269005152893578,3.33130310954111e-05,-0.296294522518704,0.8,0.762964381985037,0.619800257687136,0.936190723053988,7.73935031562017e-05,0.0192145048070752,0.998673249059297,7.73935031562017e-05,0.00124935743754665,0.979536137755378,0.0192145048070752,0.00124935743754665,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2044,40,Male,C_IHD,Ischaemic heart disease,CVD,2211630,0.00248424,0.000550732575178285,0.00142144655410929,0.00193350742482171,0.00197591178860873,0.0410634338592594,0.000529408629393965,0.0402788028006462,0.8,1.03222304224052,0.520670577641515,0.939102798934496,0.00102879913234359,0.0398053959426837,0.997037693442835,0.00102879913234359,0.00193350742482171,0.958261096632495,0.0398053959426837,0.00193350742482171,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2026,80,Female,C_CMD,Cardiomyopathy and myocarditis,CVD,330379,0.08668544,0.000382763250434085,0.0454233314717475,0.0863026767495659,0.000621404822142479,0.138058816641741,0.0001924580756672,0.988813662960872,0.8,1.7910509303687,0.531154605163038,0.930350003869953,0.000330062032951497,0.230047991539489,0.913367261217483,0.000330062032951497,0.0863026767495659,0.683649331710945,0.230047991539489,0.0863026767495659,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2048,40,Female,C_RHD,Rheumatic heart disease,CVD,2217242,0.00177129,7.28158490008603e-06,0.00109029455802306,0.00176400841509991,4.91819746209065e-05,0.00558256981958558,4.34079718805795e-05,-0.832252358619322,0.8,0.334198113104543,0.50000000046055,0.630292412861138,2.4590987333104e-05,0.00117592665907145,0.998211400597567,2.4590987333104e-05,0.00176400841509991,0.997060064925829,0.00117592665907145,0.00176400841509991,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2035,63,Male,C_DM,Diabetes mellitus,Diabetes,1469788,0.02299091,0.00155215116162959,0.0115036940376634,0.0214387588383704,0.00916958935505293,0.0149776766553042,0.00164719709270447,-0.0577016141516085,0.8,0.953838708678713,0.500000009256077,0.874818940170935,0.00458479476240089,0.0124979151170951,0.973976446399229,0.00458479476240089,0.0214387588383704,0.966063326044534,0.0124979151170951,0.0214387588383704,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2046,50,Male,C_CMD,Cardiomyopathy and myocarditis,CVD,2139306,0.00596929,2.75781134291533e-05,0.00276801293815749,0.00594171188657085,5.00884679328746e-05,0.212529719207098,4.3574073202714e-05,-0.367098106691673,0.8,0.706321514646661,0.584103771403263,0.854319654386053,2.92568630234034e-05,0.128245608152447,0.994029031250406,2.92568630234034e-05,0.00594171188657085,0.865812679960983,0.128245608152447,0.00594171188657085,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2031,43,Female,C_CMD,Cardiomyopathy and myocarditis,CVD,2014442,0.00275102,1.23722658485233e-05,0.00178402211422433,0.00273864773415148,1.63459541209946e-05,0.109383508754176,1.56159482228911e-05,-0.207716004694032,0.8,0.833827196244775,0.531154605163038,0.930350003869953,8.68222880715001e-06,0.0848543810940298,0.997252670037041,8.68222880715001e-06,0.00273864773415148,0.912406971171819,0.0848543810940298,0.00273864773415148,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2039,36,Male,C_HHD,Hypertensive heart disease,CVD,2202947,0.00195538,2.39193270669578e-05,0.00132414248882583,0.00193146067293304,8.3128769082482e-05,0.129611762419828,2.87574514944818e-05,-0.168238984196925,0.8,0.86540881264246,0.677760579995556,0.862219548003387,5.63414027476597e-05,0.096712719220582,0.998012197924319,5.63414027476597e-05,0.00193146067293304,0.901355820106485,0.096712719220582,0.00193146067293304,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2030,30,Male,C_HHD,Hypertensive heart disease,CVD,2210793,0.00155822,1.16897813556813e-05,0.00121074208361797,0.00154653021864432,3.4597278619071e-05,0.098855867561009,1.19449491974432e-05,-0.021361986354577,0.8,0.982910410916339,0.677760579995556,0.862219548003387,2.34486716231294e-05,0.0837788224344686,0.998430021109732,2.34486716231294e-05,0.00154653021864432,0.914674647346887,0.0837788224344686,0.00154653021864432,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2036,22,Male,C_RHD,Rheumatic heart disease,CVD,2405127,0.00139657,7.65739830455226e-06,0.00127769714560528,0.00138891260169545,0.000289979108384511,0.00301707877611052,1.34443597434644e-05,-0.430437860138735,0.8,0.655649711889012,0.500000000000582,0.624906744590431,0.000144989554192424,0.00123615729604672,0.998466097844112,0.000144989554192424,0.00138891260169545,0.997374930102258,0.00123615729604672,0.00138891260169545,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
IDN_NATIONAL,GBD_11,11,Indonesia,National,2026,26,Male,C_CMD,Cardiomyopathy and myocarditis,CVD,2219458,0.00153265,8.39490422183043e-06,0.00133671736580948,0.00152425509577817,1.14276354366787e-05,0.0557752906034566,9.01280200879081e-06,-0.0685577899478658,0.8,0.945153768041707,0.584103771403263,0.854319654386053,6.6749249567856e-06,0.0450365080430482,0.998469069979265,6.6749249567856e-06,0.00152425509577817,0.953439236861174,0.0450365080430482,0.00152425509577817,UNCHANGED,"Calibrated 2019 IR is held by age, sex, cause and location; CF carries 80% of projected cause-mortality change since 2019; annual background mortality follows the WPP-scaled baseline."
