location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows
Indonesia,Female,Cardiomyopathy and myocarditis,20-24 years,7.67345726256821,86.5285922144708,28.0092308668368,188.487540339442,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,25-29 years,9.2795032430552,50.3215217115893,7.79707999108791,69.3339737148352,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,30-34 years,4.19849298434751,97.9734541097204,8.26969854514895,268.803726083501,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,35-39 years,9.93876990144619,43.3026326910686,51.6927144119221,62.6478320184305,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,40-44 years,7.79067968196369,30.8404351978513,28.736502944051,234.872691177501,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,45-49 years,2.78335526319124,38.9152586388159,7.92097578295956,85.0457636040719,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,50-54 years,26.275242561698,103.04253658015,27.4354498495529,52.6996432495352,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,55-59 years,34.9475333908229,224.593529346675,11.7688637158229,332.232147642301,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,60-64 years,26.5841936020703,275.696042943527,47.1513461679138,325.626600410471,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,65-69 years,47.3471563067531,305.422985467943,25.048269383868,184.876201274611,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,70-74 years,71.3386078041806,710.736300450327,18.809608296892,414.398875155239,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,75-79 years,177.11523314633,1422.15769987758,28.0847424785317,782.276114839171,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,80-84 years,274.88974738943,2298.50592998301,79.2566021305603,1171.73475552273,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,85-89 years,330.917080252379,2234.51712805818,86.9056773916237,1073.66466410682,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,90-94 years,277.751419528671,1253.88996138546,62.2007072240675,965.635519636623,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Cardiomyopathy and myocarditis,95+ years,175.367958303089,557.909996844948,194.608750973655,538.431129141231,370.648925717045,90.1834819258304,267,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,20-24 years,6.72943397016926,148.83320603023,4.96508174298093,83.9090089788802,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,25-29 years,12.3054090017696,85.6458342431481,15.3196814240409,73.2706774171392,240.030179470513,73.148842546316,155,32,FALSE,0
