location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Indonesia,Female,Cardiomyopathy and myocarditis,20-24 years,7.67345726256821,86.5285922144708,19.8615451687067,90.1834670899062,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,25-29 years,9.2795032430552,50.3215217115893,3.77467259667842,140.235462747219,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,30-34 years,4.19849298434751,97.9734541097204,27.1794389980094,284.122321534382,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,35-39 years,9.93876990144619,43.3026326910686,7.85667642419819,285.25523278235,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,40-44 years,7.79067968196369,30.8404351978513,24.7437299220552,141.382722994268,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,45-49 years,2.78335526319124,38.9152586388159,4.17922548555876,46.2948661137691,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,50-54 years,26.275242561698,103.04253658015,21.0642837069623,168.461314505352,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,55-59 years,34.9475333908229,224.593529346675,18.8165938731957,539.710410154197,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,60-64 years,26.5841936020703,275.696042943527,37.9050306018811,433.110054038966,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,65-69 years,47.3471563067531,305.422985467943,13.3298797497223,161.144534140888,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,70-74 years,71.3386078041806,710.736300450327,70.8424064221682,469.910230147191,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,75-79 years,177.11523314633,1422.15769987758,66.2658338705761,818.288039257264,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,80-84 years,274.88974738943,2298.50592998301,94.2856162391087,1247.63506588161,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,85-89 years,330.917080252379,2234.51712805818,141.678317030927,1073.5850896311,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,90-94 years,277.751419528671,1253.88996138546,242.882158607147,679.863849114395,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Cardiomyopathy and myocarditis,95+ years,175.367958303089,557.909996844948,170.915548985692,595.946174473889,370.648925717045,147.173253709963,401,32,FALSE,0,60.2930850466527
Indonesia,Female,Hypertensive heart disease,20-24 years,6.72943397016926,148.83320603023,1.30210494244468,155.781367386241,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,25-29 years,12.3054090017696,85.6458342431481,11.0187166818056,54.0878786468682,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,30-34 years,8.71372279282618,242.320956918423,7.0041623543843,286.51308159945,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,35-39 years,46.0179324363924,495.662398699248,22.4496080638796,904.397421733136,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,40-44 years,33.3273606637127,752.014702844576,41.4144358627211,1582.54663331131,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,45-49 years,46.5022070185097,386.637190738898,239.516082086275,1893.88507798981,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,50-54 years,116.772058040629,432.664282478238,328.390556370499,2007.26133059748,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,55-59 years,434.047615560849,3834.33590139887,409.899659261708,5653.65460185778,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,60-64 years,456.416399601083,7053.79131569563,409.798872656241,6741.64713258855,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,65-69 years,618.453797343827,5187.30611745435,295.696843614675,3950.99001816068,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,70-74 years,815.858827254037,10967.8672956947,516.334954838121,10894.3867572601,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,75-79 years,1732.12804686815,18439.3704745738,834.947644621709,15353.2422067715,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,80-84 years,2051.76813889787,20948.7276834619,344.656562657997,14979.7560116595,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,85-89 years,1777.83570163612,13832.2835276119,639.08794740515,9435.90097214845,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,90-94 years,1000.39168366369,5062.92154817554,540.35425353625,5290.76024425531,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Hypertensive heart disease,95+ years,548.33842710821,2040.17039252971,549.072852158436,1788.95249255391,240.030179470513,95.4323211138182,401,32,FALSE,0,60.241532408827
Indonesia,Female,Intracerebral hemorrhage,20-24 years,53.6512125284453,1825.86049300198,118.36648696512,2557.42668676018,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,25-29 years,132.188725736813,937.041874166593,102.053057434349,1477.21061631238,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,30-34 years,155.714128270061,1381.3003530582,264.544977208578,1174.63783893283,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,35-39 years,516.67735794487,2605.97650650485,189.875063530144,4128.16617017028,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,40-44 years,438.502979194195,3579.35472196036,1343.57939776163,4417.46784876054,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,45-49 years,878.049401769797,4716.94025705619,2159.2150681062,6233.49005043614,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,50-54 years,1259.2068394063,5008.21109988191,1778.89413357839,16932.9284391971,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,55-59 years,2965.58476580752,6925.87149542683,1263.00779868199,6053.42275897135,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,60-64 years,3348.52405440324,7750.98495981021,2118.85709665653,18508.9874280928,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,65-69 years,3630.45590303634,8605.91767982541,3919.17692144884,18428.7062449647,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,70-74 years,5672.06780622845,11296.4868074588,9510.2606872031,7079.86641414961,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,75-79 years,6376.77477390436,12378.8803265373,3995.23900103346,2022.83300377111,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,80-84 years,6086.0141822309,11532.509681036,1899.33039424081,3280.84851419686,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,85-89 years,4188.15705500508,7685.23315660143,1444.6392448629,2752.73311593753,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
