age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
72,Female,rhd,2050,Indonesia,0.0128225706942614,0.028653614562867,0.0286205907351696,0.0035015744952902,3.30238276973601e-05,548756,,,,,,,,,,,,,,,,,,,,,,,,,2.78584517213223e-05,0.00319870164781045,548756,,,0,0
52,Male,rhd,2011,Indonesia,0.00706051673546607,0.0126695873238431,0.0126413163895566,0.0053443074397302,2.82709342865178e-05,1218827.5,,,,,,,,,,,,,,,,,,,,,,,,,3.52661156074242e-05,0.00613296013661698,1218827.5,,,0,0
57,Male,rhd,2008,Indonesia,0.00935914612813855,0.0171683255858214,0.0171354898227463,0.0045175636394099,3.28357630750937e-05,776973.5,,,,,,,,,,,,,,,,,,,,,,,,,3.22447990591229e-05,0.0063857623371705,776973.5,,,0,0
50,Female,cmd,2032,Indonesia,0.00320380013836923,0.00626323776254954,0.00624661563335695,0.00013701108818714,1.66221291925926e-05,1677233,,,,,,,,,,,,,,,,,,,,,,,,,1.93757803063403e-05,0.135240333077117,1677233,,,0,0
35,Male,istroke,2047,Indonesia,0.00174425425861787,0.00240205760714277,0.00237954094825041,0.00504233451482398,2.25166588923559e-05,2186798.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00066817362955687,0.00722788676257038,2186798.5,,,0,0
95,Male,istroke,2001,Indonesia,0.184272231322268,0.30862855882351,0.272967449266293,0.0798134410652113,0.035661109557217,2578.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0601163101305677,0.40592703468385,2578.5,,,0,0
66,Male,dm2,2046,Indonesia,0.0134853675957916,0.0294535191146557,0.027394764061118,0.148079305114854,0.00205875505353776,694051.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00667030440051987,0.0257381927918202,694051.5,,,0,0
50,Female,cmd,2021,Indonesia,0.0034152533949124,0.00626323776254954,0.00624661563335695,0.00013701108818714,1.66221291925926e-05,1677233,,,,,,,,,,,,,,,,,,,,,,,,,1.93757803063403e-05,0.128057190881295,1677233,,,0,8.83490009162618e-05
21,Male,hhd,2015,Indonesia,0.00152945219618357,0.00166242670651401,0.00166006139355922,6.682366659862e-05,2.36531295478316e-06,2227663,,,,,,,,,,,,,,,,,,,,,,,,,1.61574589449484e-05,0.0614951816016278,2227663,,,0,0
10,Female,istroke,2021,Indonesia,0.000392380747190366,0.000463251610773263,0.000462342820459212,0.00078198402670398,9.08790314050468e-07,2313941,,,,,,,,,,,,,,,,,,,,,,,,,3.58980431030691e-05,0.00114930430277164,2313941,,,0,0
