location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,nm_converged,pct_improvement
Indonesia,Female,Cardiomyopathy and myocarditis,20-24 years,7.67345726256821,86.5285922144708,25.2736097092257,190.561582849458,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,25-29 years,9.2795032430552,50.3215217115893,6.12320495738391,170.378969796904,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,30-34 years,4.19849298434751,97.9734541097204,8.05441890953786,129.195461479327,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,35-39 years,9.93876990144619,43.3026326910686,35.2359593694865,105.902401861275,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,40-44 years,7.79067968196369,30.8404351978513,41.1213924528821,44.8583278760651,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,45-49 years,2.78335526319124,38.9152586388159,18.8293015506634,185.238901429555,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,50-54 years,26.275242561698,103.04253658015,22.5827116319216,293.053029838933,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,55-59 years,34.9475333908229,224.593529346675,49.5070907582467,214.386427267499,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,60-64 years,26.5841936020703,275.696042943527,15.0865126731315,410.790455993894,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,65-69 years,47.3471563067531,305.422985467943,113.009008629812,362.635003122635,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,70-74 years,71.3386078041806,710.736300450327,45.5649801802337,352.065149793363,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,75-79 years,177.11523314633,1422.15769987758,118.960769065699,464.497383047712,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,80-84 years,274.88974738943,2298.50592998301,62.6471262174133,953.792140382519,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,85-89 years,330.917080252379,2234.51712805818,61.4774149756852,1220.0261426485,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,90-94 years,277.751419528671,1253.88996138546,134.652314276054,877.514383758943,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Cardiomyopathy and myocarditis,95+ years,175.367958303089,557.909996844948,183.411659939737,569.818393775877,370.648925717045,129.421027440784,2506,32,FALSE,0,FALSE,65.0825839598995
Indonesia,Female,Hypertensive heart disease,20-24 years,6.72943397016926,148.83320603023,7.00711914878118,250.387907147191,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,25-29 years,12.3054090017696,85.6458342431481,31.2466041130846,241.642027573269,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,30-34 years,8.71372279282618,242.320956918423,46.580894200761,343.736032187648,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,35-39 years,46.0179324363924,495.662398699248,23.2101804197666,271.417029423702,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,40-44 years,33.3273606637127,752.014702844576,244.018218353054,372.595659323115,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,45-49 years,46.5022070185097,386.637190738898,154.906181141825,633.885704709277,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,50-54 years,116.772058040629,432.664282478238,442.038513764733,934.879510731921,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,55-59 years,434.047615560849,3834.33590139887,855.831349808317,2109.35054679622,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,60-64 years,456.416399601083,7053.79131569563,306.161847079338,1133.06955907258,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,65-69 years,618.453797343827,5187.30611745435,685.104144743911,7209.74447416506,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,70-74 years,815.858827254037,10967.8672956947,828.05006410217,5338.0491295392,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
Indonesia,Female,Hypertensive heart disease,75-79 years,1732.12804686815,18439.3704745738,1341.47745749265,9244.18907472245,240.030179470513,140.623301732123,2506,32,FALSE,0,FALSE,41.4143246310416
